id,type,title,bibcite_year,text_author,text_keyword,bibcite_secondary_title,bibcite_volume,bibcite_issue,bibcite_pages,bibcite_publisher,bibcite_isbn,bibcite_issn,bibcite_doi,bibcite_url,bibcite_citekey,status
21671,journal_article,"R. Evans, If You re So Smart: The narrative of economic expertise",1994,"D. McCloskey",,"Journal of Economic Psychology",15,1,207,,,0167-4870,,,,1
21672,journal_article,"Speaking in Tenses: Narrative, Politics, and Historical Writing",1998,"K. McClure",,Constellations,5,,234-249,,,1351-0487,,,,1
21673,journal_article,"Heglar, Charles J. Rethinking the Slave Narrative: Slave Marriage and the Narratives of Henry Bibb and William and Ellen Craft",2002,"D. McCollister",,Jasat,33,,71,,,0587-5064,,,,1
21674,journal_article,"""Suiting the Action to the Word"": The Clarendon Tempest and the Evolution of a Narrative Silent Shakespeare",2005,"J. McCombe",,"Literature Film Quarterly",33,,142-155,,,0090-4260,,,,1
21675,journal_article,"The Limits of Love The Faithful Narrative of a Pastor s Disappearance Benjamin Anastas",2001,"B. McCombie",,"World and I",16,10,249-252,,,0887-9346,,,,1
21676,journal_article,"Betrayal of Science and Reason: How Anti-Environmental Rhetoric Threatens Our Future, by Paul R. and Anne H. Ehrlich",1997,"R. McConnell",,"Population and Environment",19,1,91-94,,,,,,,1
21677,journal_article,"Gillian Keys, The Wages of Sin: a Reappraisal of the  Succession Narrative",1997,"G. McConville",,"Irish Biblical Studies",19,,46-48,,,0268-6112,,,,1
21678,journal_article,"The person of the voice: narrative identities in informed consent",2002,"B. McCormack",,"Nursing Philosophy",3,,114-119,,,,,,,1
21679,journal_article,"Removing the Chaos from the Narrative : preparing clinical leaders for practice development",2002,"B. McCormack, A. Illman, J. Culling, A. Ryan, S. Neill",,"Educational Action Research",10,3,335-352,,,0965-0792,,,,1
21680,journal_article,"Storying stories: a narrative approach to in-depth interview conversations",2004,"C. McCormack",,"International Journal of Social Research Methodology",7,3,219-236,,,1364-5579,,,,1
21681,journal_article,"Julie Cruikshank s The Social Life, of Stories: Narrative and Knowledge in the Yukon Territory",1998,"P. McCormack",,"American Indian Quarterly",22,4,499-500,,,0095-182X,,,,1
21682,conference_proceedings,"The Question of Language in Gaelic Storytelling",,"R. McCormack",,,,,157-164,"University College of Cape Breton Press",0920336639,,,,,1
21683,journal_article,"Kaminishi, Explaining Pictures: Buddhist Propaganda and Etoki Storytelling in Japan",2007,"M. McCormick",,"Journal of Japanese Studies",33,2,512-515,,,0095-6848,,,,1
21684,conference_proceedings,"Type, Scale, and Adaptive Narrative: Keeping Models of Salmon, Toxicology and Risk Alive to the World",,"R. McCormick, A. Zellmer, T. Allen",,,,,69-83,"West Conshohocken Pa.",0803134762,,,,,1
21685,journal_article,"Type, Scale, and Adaptive Narrative: Keeping Models of Salmon, Toxicology and Risk Alive to the World",2004,"R. McCormick, A. Zellmer, T. Allen",,"Astm Special Technical Publication",,,69-83,,,0066-0558,,,,1
21686,journal_article,"Nurses, Fairytales, Cannibals: Constructing a Nationalist Narrative in Beatrice Grimshaw s Papuan Landscapes",2006,"C. McCotter",,"Irish Feminist Review",2,,124-147,,,1649-6825,,,,1
21687,journal_article,"Evelyn Birge Vitz, Nancy Freeman Regalado, and Marilyn Lawrence, eds., Performing Medieval Narrative",2006,"P. McCracken",,Arthuriana,16,,114,,,1078-6279,,,,1
21688,journal_article,"Investigating the Use of Narrative in Affective Learning on Issues of Social Justice",2002,"N. McCrary",,"Theory and Research in Social Education",30,2,255-273,,,0093-3104,,,,1
21689,conference_proceedings,"Evaluating Narrative Simulation as Instructional Design for Potential to Impact Bias and Discrimination",,"N. McCrary, J. Mazur",,,,,187-198,"Washington DC",,,,,,1
21690,conference_proceedings,"Narrative Subjectivity and Narrative Distancing in James I of Scotland s Kingis Quair",,"M. McCrillis",,,,,202-210,"East Linton",1898410976,,,,,1
21691,journal_article,"Relations between early maltreatment and mental representations of relationships assessed with projective storytelling in middle childhood",1994,"E. McCrone, B. Egeland, M. Kalkoske, E. Carlson",,"Development and Psychopathology",6,1,99,,,0954-5794,,,,1
21692,conference_proceedings,"Nasty surprises and a kind of truth: Calvinism and narrative discourse in three novels by Muriel Spark",,"M. McCulloch",,,,,90-99,Glasgow,1873448155,,,,,1
21693,journal_article,"Calvinism and Narrative Form in  The Prime of Miss Jean Brodie",1995,"M. McCulloch",,"English Review",6,1,19,,,0955-8950,,,,1
21694,journal_article,"Evaluation of narrative text for case finding: the need for accuracy measurement",1998,"P. McCullough, G. Smith",,"Am J Ind Med",34,2,133-6,,,"0271-3586 (Print)","10.1002/(SICI)1097-0274(199808)34:2<133::AID-AJIM5>3.0.CO;2-Y [pii]",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=9651622,,1
21695,journal_article,"Narrative and Crime",2005,"R. McDaniel",,"Michigan Quarterly Review",44,,793-797,,,0026-2420,,,,1
21696,journal_article,"The Practice of Prelates: Tyndale s Papal Narrative and its German Model",2004,"J. McDiarmid",,Reformation,9,,25-48,,,1357-4175,,,,1
21697,journal_article,"The After-School Occupations of Homeless Youth: Three Narrative Accounts",2006,"A. McDonald",,"Occupational Therapy in Health Care",20,,115-134,,,0738-0577,,,,1
21698,journal_article,"Wittgenstein, Narrative Theory, and Cultural Studies",2001,"H. McDonald",,Telos,,121,11-54,,,0090-6514,,,,1
21699,journal_article,"Silent Narration? Elements of Narrative in Ives s The Unanswered Question",2004,"M. McDonald",,"19th Century Music",27,3,263-286,,,0148-2076,,,,1
21700,journal_article,"Telling God s Story: Bible, Church and Narrative Theology (Gerard Loughlin)",1998,"P. McDonald",,"Heythrop Journal",39,1,98,,,,,,,1
21701,journal_article,"Narrative and the ""Gift of Vision"": The Photography of Jack Spencer",2004,"R. McDonald",,"Southern Quarterly",42,,52-64,,,0038-4496,,,,1
21702,journal_article,"The Crown Endures: Concerning Heraldry as Narrative Discourse in the Erec of Hartmann von Aue",2000,"W. McDonald",,"Colloquia Germanica",33,4,317-332,,,0010-1338,,,,1
21703,journal_article,"Playing Beyond the Rules: A Realist and Rhetoric-Based Approach to Researching the Law and Solving Legal Problems",1998,"T. McDonnell",,"Umkc Law Review",67,2,285-342,,,0047-7575,,,,1
21704,journal_article,"Review of Storytelling in Daily Life: Performing Narrative by Langellier and Peterson",2006,"K. McDowell",,"On the Horizon",14,4,173-174,,,1074-8121,,,,1
21705,journal_article,"Distance and Presence: A Case Study of Performance in Two Online Storytelling Courses",2008,"K. McDowell",,"Storytelling Self Society",4,3,214-234,,,1550-5340,,,,1
21706,journal_article,"Cultural memory, gender and age: young Latvian womens narrative memories of war-time Europe, 1944-1947",2004,"L. McDowell",,"Journal of Historical Geography",30,4,701-728,,,0305-7488,,,,1
21707,journal_article,"Narrative Authority, Critical Complicity: The Case of Jonathan Wild",1998,"P. McDowell",,"Studies in the Novel",30,2,211-231,,,0039-3827,,,,1
21708,journal_article,"Achieving Reflective Learning Using Storytelling Pathways",2001,"J. McDrury, M. Alterio",,"Innovations in Education and Training International",38,1,63-73,,,1355-8005,,,,1
21709,conference_proceedings,"Surviving Genesis: Dangerous Worlds Both Narrative and Real",,"M. McEntire",,,,,215-226,"Omaha Neb.:","1070-8510 1881871320",,,,,1
21710,journal_article,"Narrative or History? - A False Dilemma The Theological Significance of the Historical Jesus",2001,"J. McEvoy",,Pacifica,14,3,262-280,,,1030-570X,,,,1
21711,journal_article,"The Functions of Narrative and Research on Teaching",1997,"H. McEwan",,"Teaching and Teacher Education",13,1,85-92,,,,,,,1
21712,journal_article,"The social context of narrative disruption in The Letter of Alexander to Aristotle",2001,"B. McFadden",,"Anglosaxon England",30,,91-114,,,0263-6751,,,,1
21713,journal_article,"Autobiographical Memory and the Construction of a Narrative Self: Developmental and Cultural Perspectives, edited by Robyn Fivush and Catherine A. Haden",2005,"S. McFadden",,Gerontologist,45,,414-417,,,,,,,1
21714,conference_proceedings,"Covering Obasan and the Narrative of Internment",,"S. McFarlane",,,,,401-412,Pullman,0874221242,,,,,1
21715,journal_article,"Tell It Again! The New Storytelling Handbook for Primary Teachers",2004,"H. McGarrell",,"Modern English Teacher",13,1,76,,,0308-0587,,,,1
21716,journal_article,"A way with words-nursing narrative",1992,"H. McGarvey",,"Nurs Times",88,45,43,,,"0954-7762 (Print)",,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=1437628,,1
21717,journal_article,"Narrative Structure of Lacandon Creation Mythology",1997,"R. McGee",,"Latin American Indian Literatures Journal",13,1,1-22,,,0888-5613,,,,1
21718,journal_article,"Narrative of the Arctic Land Expedition to the Mouth of the Great Fish River and Along the Shores of the Arctic Ocean in the Years 1833, 1834 and 1835",1999,"R. McGhee",,Cartographica,36,1,71,,,0317-7173,,,,1
21719,journal_article,"A narrative approach to understanding the nursing work environment in Canada",2005,"McGillis Hall, D. Kiesners",,"Soc Sci Med",61,12,2482-91,,,"0277-9536 (Print)","S0277-9536(05)00228-5 [pii] 10.1016/j.socscimed.2005.05.002",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=15964672,,1
21720,journal_article,"Creative Storytelling: Building Community, Changing Lives",1996,"R. McGillis",,"Journal of Educational Thought",30,3,307-308,,,0022-0701,,,,1
21721,journal_article,"Living ethics: a narrative of collaboration and belonging in a research team",2005,"M. McGinn, C. Shields, M. Manley-Casimir, A. Grundy, N. Fenton",,"Reflective Practice",6,,551-568,,,,,,,1
21722,journal_article,"No Time Like the Present: Narrative and Time in Art Spiegelman s Maus",2003,"E. McGlothlin",,Narrative,11,2,177-198,,,1063-3685,,,,1
21723,journal_article,"Narrative Transgression in Edgar Hilsenrath s Der Nazi und der Friseur and the Rhetoric of the Sacred in Holocaust Discourse",2007,"E. McGlothlin",,"German Quarterly",80,,220-239,,,,,,,1
21724,journal_article,"Amnesia, Anamnesis and Narrative Desire: A Dialogue about Susan Rubin Suleiman s Crises of Memory and the Second World War",2008,"E. McGlothlin",,Narrative,16,,93-101,,,1063-3685,,,,1
21725,conference_proceedings,"Sort of Like an Appalachian Journal Editor : Presenting and Playing with Identity in the Storytelling of Orville Hicks",,"T. McGowan",,,,,164-179,"Appalachian State University",,,,,,1
21726,journal_article,"Sort of Like an Appalachian Journal Editor : Presenting and Playing with Identity in the Storytelling of Orville Hicks",2002,"T. McGowan",,"Appalachian Journal",29,1/2,164-179,,,0090-3779,,,,1
21727,journal_article,"A narrative account of the impact of positive thinking on discussions about death and dying",2006,"C. McGrath, K. Montgomery, K. White, I. Kerridge",,"Support Care Cancer",14,12,1246-51,,,"0941-4355 (Print)",10.1007/s00520-006-0083-0,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=16718453,,1
21728,journal_article,"The Art of Storytelling: A Collegiate Connection to Professional Development Schools",2000,"K. McGrath",,Education,121,1,184-187,,,0013-1172,,,,1
21729,journal_article,"Narrative dependency and the false belief task in autism",2008,"E. McGregor, M. Bennett",,"European Journal of Developmental Psychology",5,1,1-18,,,1740-5629,,,,1
21730,journal_article,"How Storytelling Shapes Memory and Impressions of Relationship Events Over Time",1999,"I. McGregor, J. Holmes",,"Journal of Personality and Social Psychology",76,3,403-419,,,0022-3514,,,,1
21731,journal_article,"The Development and Enhancement of Narrative Skills in a Preschool Classroom: Towards a Solution to Clinician-Client Mismatch",2000,"K. McGregor",,"American Journal of Speech Language Pathology",9,1,55-71,,,1058-0360,,http://ajslp.asha.org/cgi/content/abstract/9/1/55,,1
21732,journal_article,"Executive functioning by 18-24-month-old children: effects of inhibition, working memory demands and narrative in a novel detour-reaching task",2006,"N. McGuigan, M. Nunez",,"Infant and Child Development",15,5,519-542,,,1099-0917,,,,1
21733,journal_article,"Rorty, literary narrative and political philosophy",1997,"B. McGuinness",,"History of the Human Sciences",10,4,29-44,,,0952-6951,,,,1
21734,journal_article,"Strategy, Dynamic Capabilities and Complex Science: Management Rhetoric vs Reality",2000,"T. McGuinness, R. Morgan",,"Strategic Change",9,4,209-220,,,1086-1718,,,,1
21735,conference_proceedings,"Weak Narrativity: The Case of Avant-Garde Narrative Poetry",,"B. McHale",,,,,161-167,"Ohio State University Press",1063-3685,,,,,1
21736,journal_article,"Telling Stories Again: On the Replenishment of Narrative in the Postmodernist Long Poem",2000,"B. McHale",,"Yearbook of English Studies",30,,250-262,,,0306-2473,,,,1
21737,journal_article,"Weak Narrativity: The Case of Avant-Garde Narrative Poetry",2001,"B. McHale",,Narrative,9,2,161-167,,,1063-3685,,,,1
21738,journal_article,"Marcel Cornis-Pope. Narrative Innovation and Cultural Rewriting in the Cold War Era and After. New York: Palgrave, 2001",2003,"B. McHale",,Comparatist,27,,172-174,,,0195-7678,,,,1
21739,journal_article,"Talking Narrative: A Conversation with David Antin",2004,"B. McHale",,Narrative,12,1,93-115,,,1063-3685,,,,1
21740,journal_article,"Paradox, Ambiguity, and the Re-Creation of Self: Reflections on a Narrative from Nepal",2004,"E. McHugh",,"Anthropology and Humanism",29,,22-33,,,,,,,1
21741,conference_proceedings,"Exodus, Arrival and Return: The Generic Discourse of Irish Diasporic and Exilic Narrative Films",,"B. McIlroy",,,,,69-77,London:,"1903364949 1903364957",,,,,1
21742,conference_proceedings,"The Politics of Narrative in the Post-war Scottish Novel",,"L. McIlvanney",,,,,181-208,Oxford,0199249326,,,,,1
21743,journal_article,"Narrative career counselling: Theory and exemplars of practice",2007,"P. McIlveen, W. Patton",,"Australian Psychologist",42,3,226-235,,,0005-0067,,,,1
21744,journal_article,"Narrative skills in children with selective mutism: an exploratory study",2004,"A. McInnes, D. Fung, K. Manassis, L. Fiksenbaum, R. Tannock",,"Am J Speech Lang Pathol",13,4,304-15,,,"1058-0360 (Print)",,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=15719897,,1
21745,journal_article,"Looking for Frogs in the Narrative Stream: Global and Local Relations in Maternal Narratives",1996,"M. McIntire, Snitzer Reilly",,"Journal of Narrative and Life History",6,1,65-86,,,1053-6981,,,,1
21746,journal_article,"A very personal transplantation narrative",1990,"S. McIntyre",,"Transplant Proc",22,3,953-4,,,"0041-1345 (Print)",,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=2349716,,1
21747,journal_article,"Storytelling in the Gutter",1995,"D. McKean",,"History of Photography",19,4,293-297,,,0308-7298,,,,1
21748,journal_article,"Ross Gibson, Postcolonialism and the Narrative Construction of Australia",1994,"A. McKee",,Screen,35,3,311,,,0036-9543,,,,1
21749,journal_article,"Scientific Creativity and Creative Science: Looking at the Future of Archaeological Storytelling",2000,"L. McKee, J. Galle",,"Historical Archaeology",34,2,14-16,,,0440-9213,,,,1
21750,journal_article,"DIFFERENT VOICE Storytelling That Moves People: A Conversation with Screenwriting Coach",2003,"R. McKee",,"Harvard Business Review",81,6,51-57,,,0017-8012,,,,1
21751,journal_article,"I m very careful about that : narrative and agency of men in prison",2006,"J. McKendy",,"Discourse and Society",17,,473-502,,,0957-9265,,,,1
21752,journal_article,"""A Kiss of Cosmic Pool Balls"": Technological Paradigms and Narrative Expectations Collide in The Crying of Lot 49",2000,"C. McKenna",,"Cultural Critique",,44,29-42,,,0882-4371,,,,1
21753,journal_article,"Lyn MARVEN Body and Narrative in Contemporary Literatures in German",2006,"D. McKenna",,"Journal of Contemporary European Studies",14,,136-137,,,1478-2804,,,,1
21754,journal_article,"Storytelling and ""real"" management competence",1999,"S. McKenna",,"Journal of Workplace Learning",11,,95-104,,,1366-5626,,,,1
21755,journal_article,"Deconstructing a personal ""academic""/""practitioner"" narrative through self-reflexivity",2007,"S. McKenna",,"Qualitative Research in Organizations and Management",2,2,144-160,,,,,,,1
21756,journal_article,"Heterogeneity and Ethical Deliberation: Casuistry, Narrative, and Event in the Ethics of Karl Barth",2000,"G. McKenny",,"Annual- Society of Christian Ethics",,,205-226,,,,,,,1
21757,conference_proceedings,"Taylor and Ricoeur on Narrative Identity",,"I. McKenzie",,,,,730-739,Psa,0952315017,,,,,1
21758,conference_proceedings,"Narrative and Identity: One-Line Journal Writing",,"W. McKenzie",,,,,897-899,"University of Texas",,,,,,1
21759,journal_article,"Storytelling as a Foundation to Literacy Development for Aboriginal Children: Culturally and Developmentally Appropriate Practices",2008,"A. McKeough, S. Bird, E. Tourigny, A. Romaine, S. Graham, J. Ottmann, J. Jeary",,"Canadian Psychology",49,,148-154,,,0708-5591,,,,1
21760,journal_article,"Transformation in Narrative Thought During Adolescence: The Structure and Content of Story Compositions",2003,"A. McKeough, R. Genereux",,"Journal of Educational Psychology",95,3,537-552,,,0022-0663,,,,1
21761,journal_article,"Teaching Storytelling: A Microgenetic Analysis of Developing Narrative Competency",1996,"A. McKeough, A. Sanderson",,"Journal of Narrative and Life History",6,2,157-192,,,,,,,1
21762,journal_article,"Conceptual Change in Narrative Knowledge: Psychological Understandings of Low-Literacy and Literate Adults",1995,"A. McKeough, L. Templeton, A. Marini",,"Journal of Narrative and Life History",5,1,21,,,1053-6981,,,,1
21763,journal_article,"Narrative Thought in Childhood and Adolescence Hierarchical Models of Story Composition and Interpretation",2003,"A. McKeough, B. Wigmore-MacLeod, R. Genereux",,"Lecture Notes in Computer Science",,2859,325-337,,,0302-9743,,,,1
21764,conference_proceedings,"Narrative Thought in Childhood and Adolescence Hierarchical Models of Story Composition and Interpretation",,"A. McKeough, B. Wigmore-MacLeod, R. Genereux",,,,,325-337,Berlin,"0302-9743 3540202277",,,,,1
21765,journal_article,"Narrative and Social Control: Critical Perspectives Edited by Dennis K. Mumby",1996,"B. McKeown",,"Political Psychology",17,4,835-838,,,0162-895X,,,,1
21766,journal_article,"The Theme of Land in Genesis 1-11 and its significance for the Abraham Narrative. (Part i)",1997,"J. McKeown",,"Irish Biblical Studies",19,,51-64,,,0268-6112,,,,1
21767,journal_article,"The Theme of Land in Genesis 1-11 and its significance for the Abraham Narrative. (Part ii)",1997,"J. McKeown",,"Irish Biblical Studies",19,,133-144,,,0268-6112,,,,1
21768,journal_article,"Short stories about stroke: interviews and narrative production",2000,"C. McKevitt",,"Anthropology and Medicine",7,1,79-96,,,1364-8470,,,,1
21769,journal_article,"Narrative Complexities in the Heptameron",2007,"M. McKinley",,"Approaches to Teaching World Literature",95,,81-85,,,1059-1133,,,,1
21770,journal_article,"The New Casuistry vs. Narrative Ethics: A Postmodern Analysis",1995,"R. McKinney",,"Philosophy Today",40,4,331-344,,,,,,,1
21771,journal_article,"THE NEW CASUISTRY VS NARRATIVE ETHICS - A POSTMODERN ANALYSIS",1995,"R. McKinney",,"Philosophy Today",39,4,331-344,,,0031-8256,,"<Go to ISI>://WOS:A1995TV38200001",,1
21772,conference_proceedings,"Mobile Interactive GIS (MIGIS): Bringing indigenous knowledge and scientific information together. A narrative account",,"J. McKinnon",,,,,217-232,Bangkok:,9744800674,,,,,1
21773,journal_article,"The Pre-Raphaelite Art of the Victorian Novel: Narrative Challenges to Visual Gendered Boundaries by Sophia Andres",2006,"S. McKinstry",,"Journal of Preraphaelite Studies",,,108-111,,,1060-149X,,,,1
21774,conference_proceedings,"The Effect of Sample Size and Outcome Prevalence on Supervised Machine Learning of Narrative Data",,"L. McKnight",,,,,519-522,"Hanley and Belfus",1560536004,,,,,1
21775,journal_article,"The effect of sample size and disease prevalence on supervised machine learning of narrative data",2002,"L. McKnight, A. Wilcox, G. Hripcsak",,"Proc AMIA Symp",,,519-22,,,"1531-605X (Print)","D020002508 [pii]",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=12463878,,1
21776,journal_article,"Narrative Self-Justification: Melville and Amasa Delano",1995,"R. McLamore",,"Studies in American Fiction",23,1,35,,,,,,,1
21777,journal_article,"Value Commitment, Social Change, and Personal Narrative",1999,"P. McLaren, P. Mayo",,"International Journal of Educational Reform",8,4,397-408,,,1056-7879,,,,1
21778,journal_article,"Telling it your way: a look back at bilingual storytelling",2006,"J. McLaughlin",,"Language Issues",18,1,17-20,,,0268-5833,,,,1
21779,journal_article,"Lim Teng Kok Johnson, The Sin of Moses and the Staff of God: A Narrative Approach",1999,"J. McLaughlin",,"Toronto Journal of Theology",15,2,209-210,,,0826-9831,,,,1
21780,journal_article,"Mediating the Past: Narrative, History, and Teaching Vineland",2008,"R. McLaughlin",,"Approaches to Teaching World Literature",99,,114-120,,,1059-1133,,,,1
21781,journal_article,"Healing stories-narrative in psychiatry and psychotherapy",2000,"D. McLean",,"J Neurol Neurosurg Psychiatry",68,1,123E,,,"1468-330X (Electronic)",,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=10601418,,1
21782,journal_article,"Late Adolescent Identity Development: Narrative Meaning Making and Memory Telling",2005,"K. McLean",,"Developmental Psychology",41,,683-691,,,,,,,1
21783,journal_article,"The Emergence of Narrative Identity",2008,"K. McLean",,"Social and Personality Psychology Compass",2,4,1685-1702,,,,,,,1
21784,journal_article,"Stories of the Young and the Old: Personal Continuity and Narrative Identity",2008,"K. McLean",,"Developmental Psychology",44,,254-264,,,,,,,1
21785,journal_article,"The content and processes of autobiographical reasoning in narrative identity",2008,"K. McLean, M. Fournier",,"Journal of Research in Personality",42,3,527-545,,,,,,,1
21786,journal_article,"Working With Gay Men From a Narrative Counseling Perspective: A Case Study",2008,"R. McLean, I. Marini",,"Journal of Lgbt Issues in Counseling",2,,243-257,,,,,,,1
21787,journal_article,"""A Whole Other Story"": The Electronic Narrative of Illness",1997,"F. McLellan",,"Literature and Medicine",16,1,88-107,,,,,,,1
21788,conference_proceedings,"Storytelling via Technology in the Information Age",,"H. McLellan",,,,,193-202,"G.K. Hall",081611921X,,,,,1
21789,conference_proceedings,"Narrative and Episodic Story Structure in Interactive Stories",,"H. McLellan",,,,,543,"Washington DC",,,,,,1
21790,journal_article,"Digital Storytelling: Bridging Old and New",2006,"H. McLellan",,"Educational Technology",46,,26-31,,,0013-1962,,,,1
21791,journal_article,"Corporate Storytelling Perspectives: Organizations can use stories for a variety of purposes, including improving communication, promoting problem-solving efforts, encouraging innovation, and enhancing reputation",2006,"H. McLellan",,"Journal for Quality and Participation",29,,17-20,,,1040-9602,,,,1
21792,journal_article,"Digital Storytelling in Higher Education",2007,"H. McLellan",,"Journal of Computing in Higher Education",,,65-79,,,1042-1726,,,,1
21793,journal_article,"Digital Storytelling: Expanding Media Possibilities for Learning",2008,"H. McLellan",,"Educational Technology",48,,18-21,,,0013-1962,,,,1
21794,journal_article,"ULRICH VON ZATZIKHOVEN S LANZELET Narrative Style and Entertainment",2000,"N. McLelland",,"Arthurian Studies",46,,ALL,,,0261-9814,,,,1
21795,journal_article,"Resisting Invitations to Depression: A Narrative Approach to Family Nursing",1997,"A. McLeod",,"Journal of Family Nursing",3,4,394-406,,,,,,,1
21796,journal_article,"SELECT: an interactive minicomputer subsystem for the generation of specialized narrative text",1977,"D. McLeod, M. Meldman",,"Comput Biomed Res",10,2,91-9,,,"0010-4809 (Print)",,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=858236,,1
21797,journal_article,"The emerging narrative approach in counselling and psychotherapy",1996,"J. McLeod",,"British Journal of Guidance and Counselling",24,2,173-184,,,0306-9885,,,,1
21798,journal_article,"A narrative social constructionist approach to therapeutic empathy",1999,"J. McLeod",,"Counselling Psychology Quarterly",12,4,377-394,,,0951-5070,,,,1
21799,journal_article,"Narrative thinking and the emergence of postpsychological therapies",2006,"J. McLeod",,"Narrative Inquiry",16,1,201-210,,,1387-6740,,,,1
21800,journal_article,"Representing narrative process in therapy: qualitative analysis of a single case",1996,"J. McLeod, S. Balamoutsou",,"Counselling Psychology Quarterly",9,1,61-76,,,,,,,1
21801,journal_article,"This is our life : strong evaluation in psychotherapy narrative",2000,"J. McLeod, G. Lynch",,"European Journal of Psychotherapy Counselling and Health",3,3,389-406,,,1364-2537,,,,1
21802,journal_article,"Comparison of data extraction from standardized versus traditional narrative operative reports for database related research and quality control",2007,"R. McLeod",,Surgery,142,3,420-421,,,,,,,1
21803,journal_article,"Narrative Family Therapy for Paediatric Obsessive Compulsive Disorder",2005,"A. McLuckie",,"Journal of Family Psychotherapy",16,,83-106,,,0897-5353,,,,1
21804,journal_article,"Using narrative picture books to build awareness of expository text structure",1998,"M. McMackin",,"Reading Horizons",39,1,7-20,,,0034-0502,,,,1
21805,journal_article,"The effect of multiform narrative on subjectivity",1999,"A. McMahan",,Screen,40,2,146-157,,,0036-9543,,,,1
21806,journal_article,"Triadic Relationships in Celtic Traditional Narrative: The Limitations of Applied Psychoanalysis",1998,"B. McMahon",,"British Journal of Psychotherapy",15,1,90-99,,,0265-9883,,,,1
21807,journal_article,"Image and Narrative: Reflections on the Theological Significance of the Saint John s Bible",2007,"C. McMahon",,"American Benedictine Review",58,,29-39,,,0002-7650,,,,1
21808,journal_article,"The Analysis of Welfare State Reform: Why the ""Quasi-Markets"" Narrative is Descriptively Inadequate and Misleading",2002,"R. McMaster",,"Journal of Economic Issues",36,3,769-794,,,,,,,1
21809,journal_article,"History Makes its Demands: identity politics, slavery, scholarship, and the narrative of Robert Starobin",2002,"J. McMillian",,"Rethinking History",6,2,151-174,,,,,,,1
21810,journal_article,"Kris Lackey, RoadFrames: The American Highway Narrative",1998,"K. McNamara",,"South Central Review",15,2,72,,,0743-6831,,,,1
21811,journal_article,"Using Narrative to Understand the Convergence of Distance and Campus-Based Learning During the Time of SARS in Hong Kong",2004,"C. McNaught",,"Educational Media International.",41,3,183-194,,,0952-3987,,,,1
21812,journal_article,"The Narrative of the Body-Mind",1997,"I. McNaughton",,"Energy and Character",28,2,39-48,,,0013-7472,,,,1
21813,conference_proceedings,"The Burning Ground: Lata Pada s Embodied Narrative of Transformation",,"S. McNaughton",,,,,83-86,"Society of Dance History Scholars",,,,,,1
21814,journal_article,"Revealed by Fire: An Embodied Narrative of Transformation",2003,"S. McNaughton",,"Asian Journal of Womens Studies",9,3,101-106,,,1225-9276,,,,1
21815,journal_article,"Gender and narrative identity",1999,"L. McNay",,"Journal of Political Ideologies",4,3,315-336,,,,,,,1
21816,journal_article,"Communitarians And Feminists: The Case of Narrative Identity",2002,"L. McNay",,"Literature and Theology",16,1,81-95,,,,,,,1
21817,journal_article,"Having it Both Ways: The Incompatibility of Narrative Identity and Communicative Ethics in Feminist Thought",2003,"L. McNay",,"Theory Culture and Society",20,6,1-20,,,,,,,1
21818,journal_article,"Having it both ways - The incompatibility of narrative identity and communicative ethics in feminist thought",2003,"L. McNay",,"Theory Culture & Society",20,6,1-+,,,0263-2764,,"<Go to ISI>://WOS:000188380100001",,1
21819,journal_article,"Absent Memory, Family Secrets, Narrative Inheritance",2009,"Margaret McNay",,"Qualitative Inquiry",15,7,1178-1188,,,1077-8004,,,,1
21820,journal_article,"Telling the Truth: Perspective, Memory, and Narrative",1999,"W. McNeill",,"Art Journal",58,1,86,,,,,,,1
21821,journal_article,"The good goodbye: helping children through transitions using storytelling",2005,"C. McNicol, R. Kirkpatrick",,"Scottish Journal of Residential Child Care",4,,31-42,,,1478-1840,,,,1
21822,journal_article,"Queer Eye on Straight Youth: Homoerotics and Racial Violence in the Narrative Discourse of White Settler Masculinity",2008,"J. McNinch",,"Journal of Lgbt Youth",5,,87-108,,,1936-1653,,,,1
21823,journal_article,"Guy Hedreen: Capturing Troy: The Narrative Functions of Landscape in Archaic and Early Classical Greek Art",2006,"T. McNiven",,Phoenix,60,,387-388,,,0031-8299,,,,1
